,id,Company,Rocket,Mission,Price
0,0,RVSN USSR,Sputnik 8K71PS,Sputnik-1,5000.0
1,1,RVSN USSR,Sputnik 8K71PS,Sputnik-2,5000.0
2,2,US Navy,Vanguard,Vanguard TV3,
3,3,AMBA,Juno I,Explorer 1,
4,4,US Navy,Vanguard,Vanguard TV3BU,
5,5,AMBA,Juno I,Explorer 2,
6,6,US Navy,Vanguard,Vanguard 1,
7,7,AMBA,Juno I,Explorer 3,
8,8,RVSN USSR,Sputnik 8A91,Sputnik-3 #1,5000.0
9,9,US Navy,Vanguard,Vanguard TV5,
10,10,RVSN USSR,Sputnik 8A91,Sputnik-3 #2,5000.0
11,11,US Navy,Vanguard,Vanguard SLV-1,
12,12,US Navy,Vanguard,Vanguard SLV-2,
13,13,US Navy,NOTS-EV-1 Pilot II,Pilot-1 (D1),
14,14,AMBA,Juno I,Explorer 4,
15,15,US Navy,NOTS-EV-1 Pilot II,Pilot-2 (D2),
16,16,US Air Force,Thor-DM 18 Able I,Pioneer 0,59.650769230769235
17,17,US Navy,NOTS-EV-1 Pilot II,Pilot-3 (D3),
18,18,AMBA,Juno I,Explorer 5,
19,19,US Navy,NOTS-EV-1 Pilot II,Pilot-4 (R1),
20,20,US Navy,NOTS-EV-1 Pilot II,Pilot-5 (R2),
21,21,US Navy,NOTS-EV-1 Pilot II,Pilot-6 (R3,
22,22,RVSN USSR,Vostok,E-1 nâ Â­1 (Luna-1),5000.0
23,23,US Navy,Vanguard,Vanguard SLV-3,
24,24,NASA,Thor-DM 18 Able I,Pioneer 1,511.9463087248322
25,25,RVSN USSR,Vostok,E-1 nâ Â­2 (Luna-1),5000.0
26,26,AMBA,Juno I,Beacon 1,
27,27,NASA,Thor-DM 18 Able I,Pioneer 2,511.9463087248322
28,28,RVSN USSR,Vostok,E-1 nâ Â­3 (Luna-1),5000.0
29,29,AMBA,Juno II,Pioneer 3,
30,30,US Air Force,SM-65B Atlas,SCORE,59.650769230769235
31,31,RVSN USSR,Vostok,Luna-1,5000.0
32,32,US Navy,Vanguard,Vanguard 2,
33,33,US Air Force,Thor-DM18 Agena-A,Discoverer 1,59.650769230769235
34,34,US Air Force,Thor-DM18 Agena-A,Discoverer 2,59.650769230769235
35,35,US Navy,Vanguard,Vanguard SLV-5,
36,36,US Air Force,Thor-DM18 Agena-A,Discoverer 3,59.650769230769235
37,37,RVSN USSR,Vostok,E-1A nâ Â­1 (Luna-2),5000.0
38,38,US Navy,Vanguard,Vanguard SLV-6,
39,39,US Air Force,Thor-DM18 Agena-A,Discoverer 4,59.650769230769235
40,40,US Air Force,Thor DM-18 Able-III,Explorer 6,59.650769230769235
41,41,US Air Force,Thor-DM18 Agena-A,Discoverer 5,59.650769230769235
42,42,US Air Force,Thor-DM18 Agena-A,Discoverer 6,59.650769230769235
43,43,NASA,Atlas-D Mercury,Big Joe 1,511.9463087248322
44,44,RVSN USSR,Vostok,Luna-2,5000.0
45,45,US Air Force,Thor DM-18 Able-II,Transit 1A,59.650769230769235
46,46,US Navy,Vanguard,Vanguard 3,
47,47,RVSN USSR,Vostok,Luna-3,5000.0
48,48,US Air Force,Thor-DM18 Agena-A,Discoverer 7,59.650769230769235
49,49,US Air Force,Thor-DM18 Agena-A,Discoverer 8,59.650769230769235
50,50,General Dynamics,Atlas-D Able,Pioneer P-3,
51,51,US Air Force,Thor-DM18 Agena-A,Discoverer 9,59.650769230769235
52,52,US Air Force,Thor-DM18 Agena-A,Discoverer 10,59.650769230769235
53,53,General Dynamics,Atlas-LV3 Agena-A,Midas 1,
54,54,US Air Force,Thor DM-18 Able-IV,Pioneer 5,59.650769230769235
55,55,US Air Force,Thor DM-18 Able-II,TIROS-1,59.650769230769235
56,56,US Air Force,Thor-DM21 Ablestar,Transit 1B,59.650769230769235
57,57,RVSN USSR,Vostok,E-3 nâ Â­2 (Luna-3),5000.0
58,58,US Air Force,Thor-DM18 Agena-A,Discoverer 11,59.650769230769235
59,59,RVSN USSR,Vostok,E-3 nâ Â­3 (Luna-3),5000.0
60,60,US Air Force,Thor DM-19 Delta,Echo 1,59.650769230769235
61,61,RVSN USSR,Vostok,Korabl-Sputnik 1,5000.0
62,62,General Dynamics,Atlas-LV3 Agena-A,Midas 2,
63,63,US Air Force,Thor-DM21 Ablestar,Transit 2A & GRAB-1,59.650769230769235
64,64,US Air Force,Thor-DM18 Agena-A,Discoverer 12,59.650769230769235
65,65,RVSN USSR,Vostok,1K nâ Â­2 (Korabl-Sputnik 2),5000.0
66,66,NASA,Atlas-D Mercury,Mercury-Atlas 1 (MA-1),511.9463087248322
67,67,US Air Force,Thor-DM18 Agena-A,Discoverer 13,59.650769230769235
68,68,US Air Force,Thor DM-19 Delta,Echo 1A,59.650769230769235
69,69,US Air Force,Thor-DM18 Agena-A,Discoverer 14,59.650769230769235
70,70,US Air Force,Thor-DM21 Ablestar,Courier 1A,59.650769230769235
71,71,RVSN USSR,Vostok,Korabl-Sputnik 2,5000.0
72,72,US Air Force,Thor-DM18 Agena-A,Discoverer 15,59.650769230769235
73,73,General Dynamics,Atlas-D Able,Pioneer P-30,
74,74,US Air Force,Thor-DM21 Ablestar,Courier 1B,59.650769230769235
75,75,RVSN USSR,Molniya,1M nâ Â­1 (Marsnik 1),5000.0
76,76,General Dynamics,Atlas-LV3 Agena-A,Samos 1,
77,77,RVSN USSR,Molniya,1M nâ Â­2 (Marsnik 2),5000.0
78,78,US Air Force,Thor DM-21 Agena-B,Discoverer 16,59.650769230769235
79,79,US Air Force,Thor DM-21 Agena-B,Discoverer 17,59.650769230769235
80,80,NASA,Mercury-Redstone,Mercury-Redstone 1 (MR-1),511.9463087248322
81,81,US Air Force,Thor DM-19 Delta,TIROS-2,59.650769230769235
82,82,US Air Force,Thor-DM21 Ablestar,Transit 3A & GRAB-2,59.650769230769235
83,83,RVSN USSR,Vostok,Korabl-Sputnik 3,5000.0
84,84,NASA,Scout X-1,Explorer (S-56),511.9463087248322
85,85,US Air Force,Thor DM-21 Agena-B,Discoverer 18,59.650769230769235
86,86,General Dynamics,Atlas-D Able,Pioneer P-31,
87,87,NASA,Mercury-Redstone,Mercury-Redstone 1A (MR-1A),511.9463087248322
88,88,US Air Force,Thor DM-21 Agena-B,Discoverer 19,59.650769230769235
89,89,RVSN USSR,Vostok,1K nâ Â­5 (Korabl-Sputnik 3),5000.0
90,90,NASA,Mercury-Redstone,Mercury-Redstone 2 (MR-2),511.9463087248322
91,91,General Dynamics,Atlas-LV3 Agena-A,Samos 2,
92,92,RVSN USSR,Molniya,1VA nâ Â­1 (Venera 1),5000.0
93,93,RVSN USSR,Molniya,Venera 1,5000.0
94,94,NASA,Scout X-1,Explorer 9 (S-56A),511.9463087248322
95,95,US Air Force,Thor DM-21 Agena-B,Discoverer 20,59.650769230769235
96,96,US Air Force,Thor DM-21 Agena-B,Discoverer 21,59.650769230769235
