,id,Price,RocketStatus,MissionStatus
0,0,5000.0,Retired,Success
1,1,5000.0,Retired,Success
2,2,,Retired,Failure
3,3,,Retired,Success
4,4,,Retired,Failure
5,5,,Retired,Failure
6,6,,Retired,Success
7,7,,Retired,Success
8,8,5000.0,Retired,Failure
9,9,,Retired,Failure
10,10,5000.0,Retired,Success
11,11,,Retired,Failure
12,12,,Retired,Failure
13,13,,Retired,Failure
14,14,,Retired,Success
15,15,,Retired,Failure
16,16,59.650769230769235,Retired,Failure
17,17,,Retired,Failure
18,18,,Retired,Failure
19,19,,Retired,Failure
20,20,,Retired,Failure
21,21,,Retired,Failure
22,22,5000.0,Retired,Failure
23,23,,Retired,Failure
24,24,511.9463087248322,Retired,Partial Failure
25,25,5000.0,Retired,Failure
26,26,,Retired,Failure
27,27,511.9463087248322,Retired,Failure
28,28,5000.0,Retired,Failure
29,29,,Retired,Partial Failure
30,30,59.650769230769235,Retired,Success
31,31,5000.0,Retired,Partial Failure
32,32,,Retired,Success
33,33,59.650769230769235,Retired,Failure
34,34,59.650769230769235,Retired,Success
35,35,,Retired,Failure
36,36,59.650769230769235,Retired,Failure
37,37,5000.0,Retired,Failure
38,38,,Retired,Failure
39,39,59.650769230769235,Retired,Failure
40,40,59.650769230769235,Retired,Success
41,41,59.650769230769235,Retired,Success
42,42,59.650769230769235,Retired,Success
43,43,511.9463087248322,Retired,Partial Failure
44,44,5000.0,Retired,Success
45,45,59.650769230769235,Retired,Failure
46,46,,Retired,Partial Failure
47,47,5000.0,Retired,Success
48,48,59.650769230769235,Retired,Success
49,49,59.650769230769235,Retired,Failure
50,50,,Retired,Failure
51,51,59.650769230769235,Retired,Failure
52,52,59.650769230769235,Retired,Failure
53,53,,Retired,Failure
54,54,59.650769230769235,Retired,Success
55,55,59.650769230769235,Retired,Success
56,56,59.650769230769235,Retired,Success
57,57,5000.0,Retired,Failure
58,58,59.650769230769235,Retired,Success
59,59,5000.0,Retired,Failure
60,60,59.650769230769235,Retired,Failure
61,61,5000.0,Retired,Success
62,62,,Retired,Success
63,63,59.650769230769235,Retired,Success
64,64,59.650769230769235,Retired,Failure
65,65,5000.0,Retired,Failure
66,66,511.9463087248322,Retired,Failure
67,67,59.650769230769235,Retired,Success
68,68,59.650769230769235,Retired,Success
69,69,59.650769230769235,Retired,Success
70,70,59.650769230769235,Retired,Failure
71,71,5000.0,Retired,Success
72,72,59.650769230769235,Retired,Success
73,73,,Retired,Failure
74,74,59.650769230769235,Retired,Success
75,75,5000.0,Retired,Failure
76,76,,Retired,Failure
77,77,5000.0,Retired,Failure
78,78,59.650769230769235,Retired,Failure
79,79,59.650769230769235,Retired,Success
80,80,511.9463087248322,Retired,Failure
81,81,59.650769230769235,Retired,Success
82,82,59.650769230769235,Retired,Failure
83,83,5000.0,Retired,Success
84,84,511.9463087248322,Retired,Failure
85,85,59.650769230769235,Retired,Success
86,86,,Retired,Failure
87,87,511.9463087248322,Retired,Success
88,88,59.650769230769235,Retired,Success
89,89,5000.0,Retired,Failure
90,90,511.9463087248322,Retired,Success
91,91,,Retired,Success
92,92,5000.0,Retired,Failure
93,93,5000.0,Retired,Success
94,94,511.9463087248322,Retired,Success
95,95,59.650769230769235,Retired,Success
96,96,59.650769230769235,Retired,Success
97,97,511.9463087248322,Retired,Success
98,98,59.650769230769235,Retired,Success
99,99,5000.0,Retired,Success
100,100,511.9463087248322,Retired,Success
101,101,5000.0,Retired,Success
102,102,59.650769230769235,Retired,Success
103,103,59.650769230769235,Retired,Failure
104,104,59.650769230769235,Retired,Success
105,105,5000.0,Retired,Success
106,106,511.9463087248322,Retired,Failure
107,107,511.9463087248322,Retired,Success
108,108,59.650769230769235,Retired,Failure
109,109,59.650769230769235,Retired,Success
110,110,59.650769230769235,Retired,Success
111,111,511.9463087248322,Retired,Failure
112,112,59.650769230769235,Retired,Success
113,113,59.650769230769235,Retired,Success
114,114,,Retired,Success
115,115,511.9463087248322,Retired,Success
116,116,59.650769230769235,Retired,Failure
117,117,59.650769230769235,Retired,Failure
118,118,5000.0,Retired,Success
119,119,59.650769230769235,Retired,Success
120,120,,Retired,Failure
121,121,511.9463087248322,Retired,Partial Failure
122,122,59.650769230769235,Retired,Success
123,123,,Retired,Failure
124,124,59.650769230769235,Retired,Success
