,id,Date,Time,Country
0,0,1957-10-04,19:28:00,Kazakhstan
1,1,1957-11-03,02:30:00,Kazakhstan
2,2,1957-12-06,16:44:00,USA
3,3,1958-02-01,03:48:00,USA
4,4,1958-02-05,07:33:00,USA
5,5,1958-03-05,18:27:00,USA
6,6,1958-03-17,12:15:00,USA
7,7,1958-03-26,17:38:00,USA
8,8,1958-04-27,09:01:00,Kazakhstan
9,9,1958-04-28,02:53:00,USA
10,10,1958-05-15,07:12:00,Kazakhstan
11,11,1958-05-28,03:46:00,USA
12,12,1958-06-26,05:00:00,USA
13,13,1958-07-25,,USA
14,14,1958-07-26,15:00:00,USA
15,15,1958-08-12,,USA
16,16,1958-08-17,12:18:00,USA
17,17,1958-08-22,,USA
18,18,1958-08-24,06:17:00,USA
19,19,1958-08-25,,USA
20,20,1958-08-26,,USA
21,21,1958-08-29,,USA
22,22,1958-09-23,07:40:00,Kazakhstan
23,23,1958-09-26,15:38:00,USA
24,24,1958-10-11,08:42:00,USA
25,25,1958-10-11,21:41:00,Kazakhstan
26,26,1958-10-23,03:21:00,USA
27,27,1958-11-08,07:30:00,USA
28,28,1958-12-04,18:18:00,Kazakhstan
29,29,1958-12-06,05:44:00,USA
30,30,1958-12-18,23:02:00,USA
31,31,1959-01-02,16:41:00,Kazakhstan
32,32,1959-02-17,15:55:00,USA
33,33,1959-02-28,21:49:00,USA
34,34,1959-04-13,21:18:00,USA
35,35,1959-04-14,02:49:00,USA
36,36,1959-06-03,20:09:00,USA
37,37,1959-06-18,08:08:00,Kazakhstan
38,38,1959-06-22,20:16:00,USA
39,39,1959-06-25,22:47:00,USA
40,40,1959-08-07,14:24:00,USA
41,41,1959-08-13,19:00:00,USA
42,42,1959-08-19,19:24:00,USA
43,43,1959-09-09,08:19:00,USA
44,44,1959-09-12,06:39:00,Kazakhstan
45,45,1959-09-17,14:34:00,USA
46,46,1959-09-18,05:20:00,USA
47,47,1959-10-04,00:43:00,Kazakhstan
48,48,1959-11-07,20:28:00,USA
49,49,1959-11-20,19:25:00,USA
50,50,1959-11-26,07:26:00,USA
51,51,1960-02-04,18:51:00,USA
52,52,1960-02-19,20:15:00,USA
53,53,1960-02-26,17:25:00,USA
54,54,1960-03-11,13:00:00,USA
55,55,1960-04-01,11:40:00,USA
56,56,1960-04-13,12:02:00,USA
57,57,1960-04-15,15:06:00,Kazakhstan
58,58,1960-04-15,20:30:00,USA
59,59,1960-04-16,,Kazakhstan
60,60,1960-05-13,09:16:00,USA
61,61,1960-05-15,00:00:00,Kazakhstan
62,62,1960-05-24,17:36:00,USA
63,63,1960-06-22,05:54:00,USA
64,64,1960-06-29,22:00:00,USA
65,65,1960-07-28,09:31:00,Kazakhstan
66,66,1960-07-29,13:13:00,USA
67,67,1960-08-10,20:37:00,USA
68,68,1960-08-12,09:39:00,USA
69,69,1960-08-18,19:57:00,USA
70,70,1960-08-18,19:58:00,USA
71,71,1960-08-19,08:44:00,Kazakhstan
72,72,1960-09-13,22:14:00,USA
73,73,1960-09-25,15:13:00,USA
74,74,1960-10-04,17:50:00,USA
75,75,1960-10-10,14:27:00,Kazakhstan
76,76,1960-10-11,20:33:00,USA
77,77,1960-10-14,13:51:00,Kazakhstan
78,78,1960-10-26,20:26:00,USA
79,79,1960-11-12,20:43:00,USA
80,80,1960-11-21,14:00:00,USA
81,81,1960-11-23,11:13:00,USA
82,82,1960-11-30,19:50:00,USA
83,83,1960-12-01,07:30:00,Kazakhstan
84,84,1960-12-04,21:14:00,USA
85,85,1960-12-07,20:20:00,USA
86,86,1960-12-15,09:10:00,USA
87,87,1960-12-19,16:15:00,USA
88,88,1960-12-20,20:32:00,USA
89,89,1960-12-22,07:45:00,Kazakhstan
90,90,1961-01-31,16:55:00,USA
91,91,1961-01-31,20:21:00,USA
92,92,1961-02-04,01:18:00,Kazakhstan
93,93,1961-02-12,00:34:00,Kazakhstan
94,94,1961-02-16,13:05:00,USA
95,95,1961-02-17,20:25:00,USA
96,96,1961-02-18,22:58:00,USA
97,97,1961-02-21,14:12:00,USA
98,98,1961-02-22,03:45:00,USA
99,99,1961-03-09,06:29:00,Kazakhstan
100,100,1961-03-24,17:30:00,USA
101,101,1961-03-25,05:54:00,Kazakhstan
102,102,1961-03-25,15:17:00,USA
103,103,1961-03-30,20:34:00,USA
104,104,1961-04-08,19:21:00,USA
105,105,1961-04-12,06:07:00,Kazakhstan
106,106,1961-04-25,16:15:00,USA
107,107,1961-05-05,14:34:00,USA
108,108,1961-06-08,21:16:00,USA
109,109,1961-06-16,23:02:00,USA
110,110,1961-06-29,04:22:00,USA
111,111,1961-06-30,17:09:00,USA
112,112,1961-07-07,23:29:00,USA
113,113,1961-07-12,10:25:00,USA
114,114,1961-07-12,15:11:00,USA
115,115,1961-07-21,12:36:00,USA
116,116,1961-07-21,22:35:00,USA
117,117,1961-08-04,00:01:00,USA
118,118,1961-08-06,06:00:00,Kazakhstan
119,119,1961-08-16,03:21:00,USA
120,120,1961-08-23,10:04:00,USA
121,121,1961-08-25,18:29:00,USA
122,122,1961-08-30,20:00:00,USA
123,123,1961-09-09,19:28:00,USA
124,124,1961-09-12,19:59:00,USA
125,125,1961-09-13,14:04:00,USA
126,126,1961-09-17,21:00:00,USA
127,127,1961-10-13,19:22:00,USA
128,128,1961-10-21,13:53:00,USA
129,129,1961-10-23,19:23:00,USA
130,130,1961-10-27,16:30:00,Russia
131,131,1961-11-01,15:32:00,USA
132,132,1961-11-05,20:00:00,USA
133,133,1961-11-15,21:23:00,USA
134,134,1961-11-15,22:26:00,USA
135,135,1961-11-18,08:12:00,USA
136,136,1961-11-22,20:45:00,USA
137,137,1961-11-29,15:08:00,USA
138,138,1961-12-11,09:39:00,Kazakhstan
139,139,1961-12-12,20:40:00,USA
140,140,1961-12-21,12:30:00,Russia
141,141,1961-12-22,19:12:00,USA
142,142,1962-01-13,21:41:00,USA
143,143,1962-01-24,09:30:00,USA
144,144,1962-01-26,20:30:00,USA
145,145,1962-02-08,12:43:00,USA
146,146,1962-02-20,14:47:00,USA
147,147,1962-02-21,18:44:00,USA
148,148,1962-02-27,19:39:00,USA
149,149,1962-03-07,16:06:00,USA
150,150,1962-03-07,22:10:00,USA
151,151,1962-03-16,11:59:00,Russia
152,152,1962-04-06,17:15:00,Russia
153,153,1962-04-09,15:04:00,USA
154,154,1962-04-18,00:54:00,USA
155,155,1962-04-23,20:50:00,USA
156,156,1962-04-24,04:00:00,Russia
157,157,1962-04-26,10:02:00,Kazakhstan
158,158,1962-04-26,10:49:00,USA
159,159,1962-04-26,18:00:00,USA
160,160,1962-04-26,18:56:00,USA
161,161,1962-04-29,00:30:00,USA
162,162,1962-05-08,19:49:00,USA
163,163,1962-05-10,12:06:00,USA
164,164,1962-05-15,19:36:00,USA
165,165,1962-05-24,12:45:00,USA
166,166,1962-05-24,,USA
167,167,1962-05-28,03:00:00,Russia
168,168,1962-05-30,01:00:00,USA
169,169,1962-06-01,09:37:00,Kazakhstan
170,170,1962-06-02,00:31:00,USA
171,171,1962-06-17,18:14:00,USA
172,172,1962-06-18,20:20:00,USA
173,173,1962-06-19,12:19:00,USA
174,174,1962-06-23,00:30:00,USA
175,175,1962-06-28,01:09:00,USA
176,176,1962-06-30,16:00:00,Russia
177,177,1962-07-10,08:35:00,USA
178,178,1962-07-18,20:15:00,USA
179,179,1962-07-21,00:56:00,USA
180,180,1962-07-22,09:21:00,USA
181,181,1962-07-28,00:30:00,USA
182,182,1962-07-28,09:18:00,Kazakhstan
183,183,1962-08-02,00:17:00,USA
184,184,1962-08-05,17:59:00,USA
185,185,1962-08-11,08:30:00,Kazakhstan
186,186,1962-08-12,08:02:00,Kazakhstan
187,187,1962-08-18,15:00:00,Russia
188,188,1962-08-23,11:44:00,USA
189,189,1962-08-25,02:56:00,Kazakhstan
190,190,1962-08-27,06:53:00,USA
191,191,1962-08-29,01:00:00,USA
192,192,1962-09-01,02:12:00,Kazakhstan
193,193,1962-09-01,20:39:00,USA
194,194,1962-09-12,00:59:00,Kazakhstan
195,195,1962-09-17,23:46:00,USA
196,196,1962-09-18,08:53:00,USA
197,197,1962-09-27,09:40:00,Kazakhstan
198,198,1962-09-29,06:05:00,USA
199,199,1962-09-29,23:34:00,USA
200,200,1962-10-02,22:11:00,USA
201,201,1962-10-03,09:13:00,USA
202,202,1962-10-09,18:35:00,USA
203,203,1962-10-17,09:00:00,Kazakhstan
204,204,1962-10-18,16:59:00,USA
205,205,1962-10-20,04:00:00,Russia
206,206,1962-10-24,17:55:00,Kazakhstan
207,207,1962-10-25,07:00:00,Russia
208,208,1962-10-26,16:14:00,USA
209,209,1962-10-27,23:15:00,USA
210,210,1962-10-31,08:08:00,USA
211,211,1962-11-01,16:14:00,Kazakhstan
212,212,1962-11-04,15:35:00,Kazakhstan
213,213,1962-11-05,22:04:00,USA
